,pos,vel,angle,depth,width,res-force
77,1.0,13.95519,2.89078,3.9936,2.0,51855.485480683616
78,1.0,13.96119,0.23345,4.88298,1.0,102706.68696453121
79,1.0,13.9792,1.0076,3.5219,2.0,68924.96002939179
80,1.0,14.0044,2.52771,4.12503,3.0,49235.19742084159
81,1.0,14.05241,0.74475,4.5193,1.0,80654.00579732443
82,1.0,14.09682,2.20904,4.65913,3.0,49567.77605281818
83,1.0,14.10222,0.88878,4.76475,3.0,70492.22434929054
84,1.0,14.12142,1.69894,2.85337,3.0,55800.37611344091
85,1.0,14.12262,1.62933,3.60652,1.0,60785.586443885026
86,1.0,14.13523,1.84597,3.58972,2.0,55609.80131165624
87,1.0,14.19644,1.96899,2.0246,1.0,55505.819702333596
88,1.0,14.21024,2.4947,2.59712,2.0,53355.4475846849
89,1.0,14.22344,2.21324,4.23065,3.0,49518.65023660878
90,1.0,14.24145,0.0132,3.05861,2.0,118481.01174253873
91,1.0,14.27265,1.07181,2.22084,2.0,75567.54468814105
92,1.0,14.27746,2.12923,3.20924,3.0,52042.342820004764
93,1.0,14.28886,0.62232,2.40388,3.0,86062.23402205486
94,1.0,14.29786,2.22525,2.31686,1.0,53175.27220860077
95,1.0,14.36087,1.96479,2.07862,1.0,53504.84461700385
96,1.0,14.36207,1.18644,3.02861,2.0,73033.78884965582
97,1.0,14.38488,0.83117,2.89898,1.0,74510.46309014279
98,1.0,14.42328,0.37327,4.59192,3.0,97557.33877353866
99,1.0,14.43829,0.95299,2.96259,3.0,75286.43215296716
100,1.0,14.44009,1.33827,3.97319,1.0,66564.11833349103
101,1.0,14.5163,0.04861,4.71854,2.0,117852.5166712022
102,1.0,14.52831,1.14383,4.9814,2.0,74286.93506492287
103,1.0,14.53071,1.56031,4.55591,2.0,63375.4385974127
104,1.0,14.55711,1.22845,2.45129,1.0,64676.16165510461
105,1.0,14.56851,2.14423,2.23285,3.0,54778.80539333733
106,1.0,14.58412,2.89198,2.15963,3.0,50577.91957789745
107,1.0,14.58952,1.78236,4.62132,2.0,58846.50795756227
108,1.0,14.63753,2.66453,3.97439,3.0,51989.689751965365
109,1.0,14.64953,0.09122,4.08542,1.0,123339.87094942044
110,1.0,14.65613,2.23125,2.59952,1.0,55397.11056672914
111,1.0,14.66453,1.74575,4.9976,2.0,58851.19895092311
112,1.0,14.69154,0.83177,4.22765,2.0,77227.58431145259
113,1.0,14.70834,0.0216,2.84077,2.0,119057.47472707312
